lr,dropout_rate,kernel_size,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,status
0.0005,0.3,3,0.5707090660203272,0.05629246081071148,0.5986387297844732,0.04085020756912674,ok
0.0005,0.3,7,0.4801363736187334,0.03434379207800471,0.5190622573136234,0.022199513420641647,ok
0.0005,0.3,15,0.4457913999386293,0.10172908842125118,0.5390069824361239,0.041992448327126085,ok
0.0005,0.4,3,0.5382285060573281,0.08641375215313071,0.5795702404866195,0.0667392935838676,ok
0.0005,0.4,7,0.4936824197865988,0.05360746999351854,0.5190201566360971,0.042013109765521285,ok
0.0005,0.4,15,0.45601451574633206,0.06642741250684747,0.5073151957624922,0.03560122105960687,ok
0.001,0.3,3,0.5122404582358632,0.06231440049787383,0.5606284621491696,0.05106484688794751,ok
0.001,0.3,7,0.4932419785512177,0.09867365182435431,0.5533988884641386,0.058090897673856626,ok
0.001,0.3,15,0.483321489932824,0.049927484575018125,0.5120221233591237,0.03148092621377908,ok
0.001,0.4,3,0.5200812674306191,0.08203466907230392,0.5716210718493577,0.055636400440364116,ok
0.001,0.4,7,0.5070104150633106,0.03167693006152648,0.5522821325794434,0.05408986836432281,ok
0.001,0.4,15,0.49563925951883264,0.029305117708472123,0.5293996168564762,0.02960617652563563,ok
